epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,333.855,0.31275,0.31932,0.24807,0.8919,0.99678,1,0.995,0.98926,0.99678,1,0.995,0.995,0.20185,0.16909,0.18283,0.76078,0.000515,0.000515,0.000515
77,337.797,0.30747,0.29944,0.24822,0.8976,0.99681,1,0.995,0.98929,0.99681,1,0.995,0.995,0.20242,0.16636,0.18904,0.75328,0.0004952,0.0004952,0.0004952
78,341.698,0.29684,0.33061,0.24249,0.88184,0.99678,1,0.995,0.98933,0.99678,1,0.995,0.995,0.17535,0.16722,0.19015,0.74878,0.0004754,0.0004754,0.0004754
79,346.656,0.30659,0.3296,0.24288,0.87731,0.9968,1,0.995,0.98937,0.9968,1,0.995,0.995,0.18841,0.17069,0.17456,0.7504,0.0004556,0.0004556,0.0004556
80,350.55,0.29355,0.29639,0.24356,0.88836,0.99685,1,0.995,0.995,0.99685,1,0.995,0.995,0.16921,0.17549,0.16707,0.73948,0.0004358,0.0004358,0.0004358
81,354.548,0.27888,0.30299,0.22883,0.88788,0.99683,1,0.995,0.995,0.99683,1,0.995,0.995,0.15551,0.17623,0.1712,0.73233,0.000416,0.000416,0.000416
82,359.474,0.29473,0.2961,0.23939,0.90743,0.99691,1,0.995,0.995,0.99691,1,0.995,0.995,0.17082,0.16912,0.17276,0.73684,0.0003962,0.0003962,0.0003962
83,363.662,0.28108,0.29887,0.22975,0.87769,0.99692,1,0.995,0.995,0.99692,1,0.995,0.995,0.15634,0.16408,0.17144,0.73232,0.0003764,0.0003764,0.0003764
84,367.506,0.2846,0.29401,0.24368,0.88519,0.99701,1,0.995,0.995,0.99701,1,0.995,0.995,0.18243,0.1609,0.18822,0.744,0.0003566,0.0003566,0.0003566
85,372.392,0.27734,0.29072,0.23135,0.87146,0.997,1,0.995,0.995,0.997,1,0.995,0.995,0.16871,0.16333,0.18789,0.74377,0.0003368,0.0003368,0.0003368
86,376.308,0.2962,0.2655,0.23051,0.88877,0.99695,1,0.995,0.995,0.99695,1,0.995,0.995,0.15296,0.16343,0.17297,0.73424,0.000317,0.000317,0.000317
87,380.157,0.29084,0.28969,0.23357,0.88472,0.99692,1,0.995,0.995,0.99692,1,0.995,0.995,0.15699,0.16594,0.19012,0.73092,0.0002972,0.0002972,0.0002972
88,385.152,0.2611,0.31539,0.2198,0.86538,0.99686,1,0.995,0.98158,0.99686,1,0.995,0.995,0.17458,0.17231,0.19092,0.74153,0.0002774,0.0002774,0.0002774
89,389.011,0.28432,0.30152,0.2278,0.90043,0.99684,1,0.995,0.9855,0.99684,1,0.995,0.995,0.16881,0.16808,0.17785,0.73997,0.0002576,0.0002576,0.0002576
90,392.809,0.25212,0.28203,0.21147,0.87834,0.99682,1,0.995,0.98942,0.99682,1,0.995,0.995,0.1711,0.16417,0.19916,0.73712,0.0002378,0.0002378,0.0002378
91,400.158,0.21882,0.20453,0.24819,0.87666,0.9968,1,0.995,0.995,0.9968,1,0.995,0.995,0.19879,0.16263,0.21247,0.74519,0.000218,0.000218,0.000218
92,403.964,0.21967,0.19583,0.24246,0.87417,0.99685,1,0.995,0.995,0.99685,1,0.995,0.995,0.17971,0.15802,0.19513,0.73908,0.0001982,0.0001982,0.0001982
93,408.674,0.21087,0.19605,0.23718,0.88328,0.99679,1,0.995,0.995,0.99679,1,0.995,0.995,0.16795,0.15531,0.18758,0.74225,0.0001784,0.0001784,0.0001784
94,412.765,0.19909,0.19269,0.21377,0.84066,0.99688,1,0.995,0.995,0.99688,1,0.995,0.995,0.16504,0.15215,0.16113,0.74146,0.0001586,0.0001586,0.0001586
95,416.586,0.19718,0.19706,0.20988,0.85722,0.99694,1,0.995,0.995,0.99694,1,0.995,0.995,0.16394,0.15029,0.16603,0.73997,0.0001388,0.0001388,0.0001388
96,421.22,0.20476,0.18836,0.22745,0.85798,0.99692,1,0.995,0.995,0.99692,1,0.995,0.995,0.1531,0.14952,0.16198,0.73387,0.000119,0.000119,0.000119
97,424.974,0.18491,0.19429,0.20743,0.82072,0.99689,1,0.995,0.995,0.99689,1,0.995,0.995,0.1605,0.14913,0.1621,0.73749,9.92e-05,9.92e-05,9.92e-05
98,428.586,0.20556,0.19549,0.21114,0.87349,0.99688,1,0.995,0.995,0.99688,1,0.995,0.995,0.15372,0.14869,0.16477,0.73294,7.94e-05,7.94e-05,7.94e-05
99,432.617,0.19672,0.19149,0.20548,0.8536,0.99689,1,0.995,0.995,0.99689,1,0.995,0.995,0.14169,0.14889,0.15597,0.72561,5.96e-05,5.96e-05,5.96e-05
100,436.895,0.18638,0.19175,0.20122,0.86237,0.99686,1,0.995,0.995,0.99686,1,0.995,0.995,0.14201,0.14914,0.13859,0.72451,3.98e-05,3.98e-05,3.98e-05
