epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1578.61,1.12579,0.73914,1.00572,0.81104,0.76063,0.85008,0.47449,1.59032,0.81139,1.29712,0.000195069,0.000195069,0.000195069
137,1589.63,1.12826,0.74607,1.02931,0.82027,0.79225,0.84887,0.48237,1.57568,0.81538,1.31706,0.000192158,0.000192158,0.000192158
138,1600.65,1.07253,0.73364,1.02577,0.82367,0.80637,0.86687,0.49646,1.57265,0.80547,1.29221,0.000189248,0.000189248,0.000189248
139,1612.59,1.10391,0.73127,1.02451,0.79666,0.78013,0.84521,0.46935,1.55775,0.84295,1.29258,0.000186337,0.000186337,0.000186337
140,1624.52,1.09773,0.72331,1.00759,0.78132,0.78434,0.84825,0.48225,1.57368,0.83028,1.3397,0.000183427,0.000183427,0.000183427
141,1636.61,1.08177,0.71343,1.00196,0.82773,0.7891,0.86085,0.46038,1.64512,0.79971,1.32148,0.000180516,0.000180516,0.000180516
142,1648.99,1.09912,0.7273,1.01568,0.83129,0.76384,0.84803,0.48111,1.63034,0.799,1.40321,0.000177605,0.000177605,0.000177605
143,1660.22,1.0687,0.70213,1.00006,0.81616,0.77425,0.84733,0.45093,1.62473,0.82583,1.36349,0.000174695,0.000174695,0.000174695
144,1671.42,1.07481,0.70857,1.00041,0.85419,0.78405,0.86763,0.47722,1.61492,0.80027,1.33084,0.000171784,0.000171784,0.000171784
145,1683.42,1.0697,0.70507,1.00948,0.85469,0.79296,0.88118,0.4944,1.55063,0.78331,1.27719,0.000168874,0.000168874,0.000168874
146,1695.59,1.08367,0.72681,1.01098,0.8427,0.80668,0.87963,0.48758,1.58425,0.78631,1.28781,0.000165963,0.000165963,0.000165963
147,1707.46,1.0606,0.69996,0.99416,0.8279,0.80189,0.87827,0.49004,1.55105,0.79375,1.27443,0.000163052,0.000163052,0.000163052
